Created,9/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,Disability,Age 3,Age 4,Age 5,Age 3 to 5,"Hispanic/Latino 
Age 3 to 5 
","American Indian or
Alaska Native 
Age 3 to 5 
","Asian 
Age 3 to 5 
","Black or 
African American
Age 3 to 5 
","Native Hawaiian 
or Other Pacific Islander
Age 3 to 5 
","White
Age 3 to 5 
","Two or more races
Age 3 to 5 
","Age 3-5
 R/E
total ",Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 6 to 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 6 to 17,Age 12 to 17,Age 18,Age 19,Age 20,Age 21,Age 18 to 21,Age 14 to 21,Age 6 to 21,Age 3 to 21,"Hispanic/Latino
Age 6 to 21
","

American Indian 
or Alaska Native 
Age 6 to 21 
","Asian 
Age 6 to 21 
","Black or 
African American
Age 6 to 21 
","Native Hawaiian 
or Other Pacific Islander
Age 6 to 21
","White
Age 6 to 21
","Two or more races
Age 6 to 21 
","Age 6 to 21
 R/E
total "
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Intellectual disabilities             ,"2,293","3,113","6,829","12,235","4,567",102,487,"1,836",28,"4,788",427,"12,235","12,239","16,215","20,928","27,017","30,733","33,574","140,706","34,477","35,267","35,238","36,394","37,428","38,621","358,131","217,425","31,419","19,110","13,928","8,231","72,688","220,369","430,819","443,054","89,107","5,577","9,531","118,656","1,211","198,459","8,278","430,819"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Hearing impairments                ,"2,557","3,114","3,654","9,325","2,659",88,509,"1,114",43,"4,686",226,"9,325","4,287","4,880","5,100","5,335","5,744","5,892","31,238","5,792","5,703","5,522","5,343","5,348","5,246","64,192","32,954","3,160","1,124",521,223,"5,028","26,487","69,220","78,545","19,055",753,"3,647","10,298",359,"33,723","1,385","69,220"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Speech or language impairments     ,"66,201","113,679","162,209","342,089","89,608","3,692","8,659","37,975",606,"192,210","9,339","342,089","198,896","195,311","173,497","144,365","113,763","78,899","904,731","52,411","36,786","24,889","18,332","14,723","12,083","1,063,955","159,224","5,472","1,217",410,146,"7,245","77,272","1,071,200","1,413,289","258,071","12,890","34,421","151,978","2,086","586,036","25,718","1,071,200"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Visual impairments                 ,858,"1,116","1,400","3,374",852,41,144,417,8,"1,809",103,"3,374","1,702","1,851","2,074","2,177","2,070","2,104","11,978","2,013","2,025","1,984","1,968","1,972","1,904","23,844","11,866","1,017",428,256,128,"1,829","9,657","25,673","29,047","5,854",315,998,"4,059",85,"13,832",530,"25,673"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Emotional disturbance              ,252,616,"2,259","3,127",422,25,44,595,9,"1,897",135,"3,127","5,963","10,933","15,850","20,634","24,678","28,906","106,964","31,916","35,632","38,396","41,360","43,858","41,973","340,099","233,135","21,146","6,454","2,585","1,141","31,326","196,913","371,425","374,552","52,674","5,356","3,180","99,817",971,"198,032","11,395","371,425"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Orthopedic impairments             ,"1,899","2,421","3,061","7,381","2,080",43,310,797,24,"3,911",216,"7,381","3,676","3,909","4,138","4,101","4,257","4,345","24,426","4,159","4,181","4,285","4,081","4,139","3,896","49,167","24,741","2,464","1,235",909,607,"5,215","21,616","54,382","61,763","13,842",491,"1,979","6,633",156,"30,008","1,273","54,382"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Other health impairments           ,"3,731","5,508","11,328","20,567","5,049",165,568,"2,580",60,"11,508",637,"20,567","20,960","32,226","44,718","55,822","63,580","68,755","286,061","70,288","71,757","70,832","69,922","66,923","60,131","695,914","409,853","28,514","6,458","2,246",828,"38,046","305,854","733,960","754,527","109,380","8,606","9,522","131,652","1,972","453,725","19,103","733,960"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Specific learning disabilities     ,"1,199","2,025","5,876","9,100","2,095",71,199,886,19,"5,528",302,"9,100","19,512","52,627","103,533","158,459","202,219","229,512","765,862","239,486","244,459","240,512","240,677","240,311","227,527","2,198,834","1,432,972","120,929","25,819","6,782","2,426","155,956","1,104,983","2,354,790","2,363,890","650,353","36,952","34,027","463,474","8,045","1,112,960","48,979","2,354,790"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Deaf-blindness                     ,66,65,78,209,53,4,6,26,1,113,6,209,95,94,104,99,104,100,596,103,89,69,102,105,117,"1,181",585,67,55,42,29,193,586,"1,374","1,583",344,22,59,132,15,777,25,"1,374"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Multiple disabilities              ,"1,829","2,199","4,001","8,029","1,854",82,313,"1,280",56,"4,196",248,"8,029","5,702","6,361","7,344","8,165","9,060","9,514","46,146","9,563","9,892","9,672","9,690","9,606","9,739","104,308","58,162","7,783","5,836","4,736","2,294","20,649","59,356","124,957","132,986","20,629","1,870","3,368","23,621",415,"72,530","2,524","124,957"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Autism                             ,"10,893","16,101","24,258","51,252","12,753",305,"3,585","7,068",188,"25,438","1,915","51,252","31,668","35,120","38,344","37,990","37,264","35,501","215,887","32,542","30,649","27,766","25,141","23,163","21,057","376,205","160,318","13,821","8,374","5,663","2,894","30,752","127,879","406,957","458,209","67,821","3,113","21,007","54,560",963,"248,917","10,576","406,957"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Traumatic brain injury             ,238,362,491,"1,091",213,11,20,164,3,643,37,"1,091",728,878,"1,143","1,485","1,873","2,001","8,108","2,073","2,190","2,232","2,408","2,524","2,541","22,076","13,968","1,480",684,432,206,"2,802","12,507","24,878","25,969","4,041",318,589,"3,877",74,"15,363",616,"24,878"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",Developmental delay                ,"85,818","114,974","76,778","277,570","51,005","4,100","8,179","48,333","1,101","152,310","12,542","277,570","49,029","36,807","24,280","5,452",         -,         -,"115,568",         -,         -,         -,         -,         -,         -,"115,568",         -,         -,         -,         -,         -,         -,         -,"115,568","393,138","17,040","3,730","2,399","24,917",705,"62,854","3,923","115,568"
2011,"50 states, D.C., and P.R. (including BIE schools)      ",All disabilities                   ,"177,834","265,293","302,222","745,349","173,210","8,729","23,023","103,071","2,146","409,037","26,133","745,349","354,457","397,212","441,053","471,101","495,345","499,103","2,658,271","484,823","478,630","461,397","455,418","450,100","424,835","5,413,474","2,755,203","237,272","76,794","38,510","19,153","371,729","2,163,479","5,785,203","6,530,552","1,308,211","79,993","124,727","1,093,674","17,057","3,027,216","134,325","5,785,203"
2011,U.S. and Outlying Areas                                ,Intellectual disabilities             ,"2,293","3,113","6,832","12,238","4,567",102,487,"1,836",30,"4,788",428,"12,238","12,244","16,225","20,937","27,028","30,753","33,594","140,781","34,493","35,300","35,269","36,428","37,466","38,662","358,399","217,618","31,446","19,139","13,934","8,234","72,753","220,578","431,152","443,390","89,137","5,578","9,555","118,799","1,333","198,462","8,288","431,152"
2011,U.S. and Outlying Areas                                ,Hearing impairments                ,"2,558","3,116","3,663","9,337","2,660",88,512,"1,116",48,"4,686",227,"9,337","4,294","4,883","5,110","5,340","5,751","5,897","31,275","5,802","5,710","5,529","5,353","5,358","5,252","64,279","33,004","3,164","1,125",521,223,"5,033","26,525","69,312","78,649","19,056",753,"3,663","10,310",421,"33,723","1,386","69,312"
2011,U.S. and Outlying Areas                                ,Speech or language impairments     ,"66,258","113,810","162,333","342,401","89,621","3,692","8,679","38,028",819,"192,220","9,342","342,401","198,959","195,408","173,556","144,407","113,797","78,928","905,055","52,423","36,793","24,896","18,334","14,723","12,084","1,064,308","159,253","5,474","1,217",410,146,"7,247","77,284","1,071,555","1,413,956","258,081","12,891","34,479","152,064","2,271","586,043","25,726","1,071,555"
2011,U.S. and Outlying Areas                                ,Visual impairments                 ,859,"1,119","1,402","3,380",853,41,144,417,13,"1,809",103,"3,380","1,704","1,853","2,077","2,179","2,071","2,106","11,990","2,016","2,026","1,987","1,972","1,973","1,908","23,872","11,882","1,020",428,256,128,"1,832","9,672","25,704","29,084","5,855",315,999,"4,067",104,"13,833",531,"25,704"
2011,U.S. and Outlying Areas                                ,Emotional disturbance              ,253,616,"2,259","3,128",422,25,45,595,9,"1,897",135,"3,128","5,964","10,933","15,854","20,643","24,687","28,918","106,999","31,926","35,658","38,409","41,385","43,884","41,997","340,258","233,259","21,158","6,458","2,585","1,141","31,342","197,017","371,600","374,728","52,686","5,356","3,185","99,857","1,085","198,034","11,397","371,600"
2011,U.S. and Outlying Areas                                ,Orthopedic impairments             ,"1,899","2,422","3,064","7,385","2,080",43,311,797,27,"3,911",216,"7,385","3,679","3,912","4,142","4,101","4,257","4,349","24,440","4,159","4,185","4,286","4,082","4,144","3,898","49,194","24,754","2,465","1,235",909,607,"5,216","21,626","54,410","61,795","13,842",491,"1,986","6,635",174,"30,008","1,274","54,410"
2011,U.S. and Outlying Areas                                ,Other health impairments           ,"3,731","5,511","11,337","20,579","5,050",165,569,"2,581",69,"11,508",637,"20,579","20,980","32,244","44,750","55,857","63,614","68,795","286,240","70,339","71,782","70,859","69,957","66,958","60,155","696,290","410,050","28,520","6,463","2,247",828,"38,058","305,987","734,348","754,927","109,411","8,606","9,558","131,735","2,180","453,739","19,119","734,348"
2011,U.S. and Outlying Areas                                ,Specific learning disabilities     ,"1,201","2,025","5,882","9,108","2,095",71,200,886,26,"5,528",302,"9,108","19,541","52,706","103,644","158,632","202,434","229,757","766,714","239,760","244,763","240,798","240,930","240,578","227,812","2,201,355","1,434,641","121,091","25,867","6,792","2,428","156,178","1,106,296","2,357,533","2,366,641","650,508","36,958","34,180","463,932","9,894","1,112,979","49,082","2,357,533"
2011,U.S. and Outlying Areas                                ,Deaf-blindness                     ,66,65,78,209,53,4,6,26,1,113,6,209,95,94,104,99,104,102,598,103,90,69,102,105,117,"1,184",586,67,55,43,29,194,587,"1,378","1,587",344,22,59,132,18,777,26,"1,378"
2011,U.S. and Outlying Areas                                ,Multiple disabilities              ,"1,833","2,204","4,009","8,046","1,855",82,317,"1,280",68,"4,196",248,"8,046","5,713","6,373","7,357","8,176","9,077","9,529","46,225","9,585","9,911","9,683","9,701","9,616","9,751","104,472","58,247","7,800","5,842","4,740","2,296","20,678","59,429","125,150","133,196","20,632","1,870","3,393","23,651",536,"72,535","2,533","125,150"
2011,U.S. and Outlying Areas                                ,Autism                             ,"10,902","16,118","24,276","51,296","12,753",305,"3,600","7,076",203,"25,439","1,920","51,296","31,684","35,147","38,370","38,010","37,287","35,529","216,027","32,559","30,673","27,787","25,153","23,178","21,066","376,443","160,416","13,829","8,382","5,666","2,894","30,771","127,955","407,214","458,510","67,830","3,113","21,084","54,614","1,053","248,920","10,600","407,214"
2011,U.S. and Outlying Areas                                ,Traumatic brain injury             ,238,362,491,"1,091",213,11,20,164,3,643,37,"1,091",728,878,"1,145","1,486","1,873","2,002","8,112","2,073","2,190","2,233","2,408","2,527","2,541","22,084","13,972","1,480",684,432,206,"2,802","12,511","24,886","25,977","4,042",318,590,"3,878",79,"15,363",616,"24,886"
2011,U.S. and Outlying Areas                                ,Developmental delay                ,"85,896","115,039","76,821","277,756","51,019","4,100","8,214","48,391","1,163","152,316","12,553","277,756","49,055","36,837","24,297","5,453",         -,         -,"115,642",         -,         -,         -,         -,         -,         -,"115,642",         -,         -,         -,         -,         -,         -,         -,"115,642","393,398","17,046","3,730","2,415","24,944",724,"62,854","3,929","115,642"
2011,U.S. and Outlying Areas                                ,All disabilities                   ,"177,987","265,520","302,447","745,954","173,241","8,729","23,104","103,193","2,479","409,054","26,154","745,954","354,640","397,493","441,343","471,411","495,705","499,506","2,660,098","485,238","479,081","461,805","455,805","450,510","425,243","5,417,780","2,757,682","237,514","76,895","38,535","19,160","372,104","2,165,467","5,789,884","6,535,838","1,308,470","80,001","125,146","1,094,618","19,872","3,027,270","134,507","5,789,884"
2011,Alabama                                                ,Intellectual disabilities             ,0,         x,         x,         x,0,0,0,         x,0,         x,0,         x,29,108,235,404,451,538,"1,765",492,526,580,538,565,570,"5,036","3,271",459,221,151,24,855,"3,108","5,891",         x,121,34,23,"2,968",         x,"2,727",17,         x
2011,Alabama                                                ,Hearing impairments                ,37,41,31,109,6,0,         x,25,0,73,         x,109,45,46,50,65,92,83,381,73,60,88,68,77,73,820,439,61,12,         x,         x,77,383,897,"1,006",44,10,12,330,0,492,9,897
2011,Alabama                                                ,Speech or language impairments     ,628,"1,380","2,062","4,070",117,         x,42,"1,079",         x,"2,754",59,"4,070","2,962","2,706","2,257","1,665","1,248",794,"11,632",496,304,222,159,114,105,"13,032","1,400",59,14,         x,         x,77,677,"13,109","17,179",380,         x,115,"3,921",         x,"8,499",102,"13,109"
2011,Alabama                                                ,Visual impairments                 ,14,12,23,49,         x,0,         x,13,0,29,0,49,         x,30,35,27,35,31,         x,         x,38,51,47,41,         x,         x,239,16,         x,         x,0,         x,195,448,497,16,         x,         x,145,0,274,         x,448
2011,Alabama                                                ,Emotional disturbance              ,0,0,         x,         x,0,0,0,         x,0,0,0,         x,         x,         x,52,82,102,132,402,150,144,158,146,147,120,"1,267",865,59,16,5,0,80,651,"1,347",         x,15,5,         x,497,0,817,12,         x
2011,Alabama                                                ,Orthopedic impairments             ,27,30,30,87,6,         x,         x,24,0,54,0,87,40,34,35,53,38,41,241,57,55,50,46,59,42,550,309,26,13,         x,         x,50,247,600,687,19,5,7,191,0,372,6,600
2011,Alabama                                                ,Other health impairments           ,46,43,61,150,6,0,         x,46,0,93,         x,150,147,358,537,772,863,857,"3,534",840,769,720,668,635,526,"7,692","4,158",292,66,         x,         x,380,"2,929","8,072","8,222",120,71,         x,"2,743",         x,"5,025",69,"8,072"
2011,Alabama                                                ,Specific learning disabilities     ,         x,         x,         x,7,0,0,0,         x,0,         x,0,7,76,476,"1,166","1,931","2,587","3,028","9,264","3,153","3,500","3,532","3,587","3,893","3,587","30,516","21,252","2,495",486,105,16,"3,102","17,701","33,618","33,625","1,077",248,100,"15,467",8,"16,571",147,"33,618"
2011,Alabama                                                ,Deaf-blindness                     ,         x,0,0,         x,0,0,0,0,0,         x,0,         x,0,         x,         x,0,0,0,         x,         x,         x,         x,0,0,         x,         x,5,0,0,         x,0,         x,         x,10,         x,0,0,0,0,0,         x,0,         x
2011,Alabama                                                ,Multiple disabilities              ,16,18,21,55,         x,0,0,         x,0,30,0,55,46,49,54,95,101,110,455,98,124,97,105,106,89,"1,074",619,92,70,49,9,220,617,"1,294","1,349",42,6,11,504,0,726,5,"1,294"
2011,Alabama                                                ,Autism                             ,85,150,166,401,15,         x,         x,113,0,256,9,401,290,330,364,427,463,410,"2,284",426,379,320,255,261,198,"4,123","1,839",150,82,54,9,295,"1,329","4,418","4,819",85,         x,48,"1,316",         x,"2,916",26,"4,418"
2011,Alabama                                                ,Traumatic brain injury             ,         x,6,         x,12,         x,0,0,         x,0,6,0,12,12,         x,         x,10,18,25,         x,         x,         x,         x,22,28,         x,         x,115,22,         x,         x,         x,         x,         x,244,256,5,         x,         x,96,         x,         x,         x,244
2011,Alabama                                                ,Developmental delay                ,574,820,"1,016","2,410",124,         x,36,877,         x,"1,329",39,"2,410","1,112",995,739,         -,         -,         -,"2,846",         -,         -,         -,         -,         -,         -,"2,846",         -,         -,         -,         -,         -,         -,         -,"2,846","5,256",134,20,18,"1,119",0,"1,522",33,"2,846"
2011,Alabama                                                ,All disabilities                   ,"1,432","2,503","3,420","7,355",280,         x,98,"2,208",         x,"4,632",110,"7,355","4,794","5,169","5,539","5,531","5,998","6,049","33,080","5,835","5,918","5,828","5,641","5,926","5,363","67,591","34,511","3,731",999,409,64,"5,203","27,961","72,794","80,149","2,058",519,383,"29,297",17,"40,088",432,"72,794"
2011,Alaska                                                 ,Intellectual disabilities             ,6,         x,         x,14,         x,         x,0,         x,0,6,         x,14,8,9,33,47,45,43,185,47,53,50,57,42,54,488,303,42,26,23,35,126,329,614,628,42,206,29,37,20,239,41,614
2011,Alaska                                                 ,Hearing impairments                ,         x,         x,17,35,         x,         x,         x,         x,         x,14,7,35,         x,15,7,13,         x,15,61,14,11,11,10,10,11,128,67,10,5,         x,         x,17,59,145,180,9,45,19,         x,7,57,         x,145
2011,Alaska                                                 ,Speech or language impairments     ,152,257,363,772,36,248,33,16,11,369,59,772,475,448,414,367,271,169,"2,144",108,69,39,34,17,17,"2,428",284,12,         x,         x,0,19,126,"2,447","3,219",147,685,91,69,40,"1,193",222,"2,447"
2011,Alaska                                                 ,Visual impairments                 ,0,         x,         x,         x,0,0,0,         x,0,         x,0,         x,         x,         x,         x,         x,5,         x,18,         x,         x,         x,         x,         x,         x,         x,         x,         x,0,0,0,         x,         x,37,         x,         x,         x,         x,         x,0,         x,         x,         x
2011,Alaska                                                 ,Emotional disturbance              ,0,         x,         x,         x,0,         x,0,0,0,         x,0,         x,         x,         x,26,43,56,55,200,68,68,66,75,66,65,608,408,46,7,         x,         x,61,333,669,         x,29,154,8,59,         x,339,73,         x
2011,Alaska                                                 ,Orthopedic impairments             ,         x,         x,11,22,         x,5,         x,0,0,9,5,22,         x,7,         x,8,6,6,38,         x,         x,6,         x,         x,5,         x,         x,0,         x,         x,0,         x,17,65,87,         x,13,         x,         x,         x,36,         x,65
2011,Alaska                                                 ,Other health impairments           ,13,15,22,50,         x,12,         x,         x,         x,28,         x,50,49,87,123,184,203,226,872,232,214,205,188,197,173,"2,081","1,209",95,17,16,11,139,902,"2,220","2,270",135,561,33,113,22,"1,167",189,"2,220"
2011,Alaska                                                 ,Specific learning disabilities     ,         x,         x,         x,         x,0,0,0,0,0,         x,0,         x,39,142,386,649,770,840,"2,826",839,710,727,677,621,559,"6,959","4,133",301,84,45,18,448,"3,032","7,407",         x,530,"2,392",226,370,         x,"3,093",601,         x
2011,Alaska                                                 ,Deaf-blindness                     ,0,0,0,0,         x,0,0,0,         x,0,0,0,         x,         x,0,0,0,0,         x,0,0,0,0,0,         x,         x,         x,         x,0,0,         x,         x,         x,5,5,0,         x,0,0,         x,         x,0,5
2011,Alaska                                                 ,Multiple disabilities              ,10,5,9,24,         x,10,         x,         x,         x,8,         x,24,16,25,12,24,17,49,143,31,28,34,27,24,24,311,168,27,25,19,17,88,197,399,423,22,153,14,17,7,159,27,399
2011,Alaska                                                 ,Autism                             ,20,28,43,91,8,10,         x,         x,         x,54,11,91,50,62,68,76,73,71,400,69,74,67,51,48,37,746,346,38,30,17,5,90,293,836,927,67,98,44,24,7,534,62,836
2011,Alaska                                                 ,Traumatic brain injury             ,         x,         x,         x,5,0,0,0,         x,0,         x,         x,5,         x,0,         x,         x,         x,         x,         x,         x,         x,         x,7,         x,6,39,         x,6,         x,         x,         x,10,         x,49,54,         x,12,0,         x,0,26,6,49
2011,Alaska                                                 ,Developmental delay                ,268,383,492,"1,143",109,264,28,46,16,552,128,"1,143",403,365,228,         -,         -,         -,996,         -,         -,         -,         -,         -,         -,996,         -,         -,         -,         -,         -,         -,         -,996,"2,139",65,295,40,44,19,424,109,996
